期号  	开奖日期	开奖号码
2020039	2020-05-20(三)	01 05 15 22 31 02 09 
2020038	2020-05-18(一)	04 15 20 22 24 01 09 
2020037	2020-05-16(六)	01 04 10 11 14 02 05 
2020036	2020-05-13(三)	01 05 11 12 26 02 07 
2020035	2020-05-11(一)	10 11 22 26 28 02 04 
2020034	2020-05-09(六)	11 13 20 27 31 02 04 
2020033	2020-05-06(三)	07 19 20 31 34 05 08 
2020032	2020-05-04(一)	02 03 09 16 32 03 04 
2020031	2020-05-02(六)	01 02 05 15 21 04 05 
2020030	2020-04-29(三)	01 08 17 27 30 05 06 
2020029	2020-04-27(一)	11 14 17 22 30 07 09 
2020028	2020-04-25(六)	04 05 28 34 35 01 08 
2020027	2020-04-22(三)	04 07 20 25 32 03 09 
2020026	2020-04-20(一)	03 15 26 32 34 08 12 
2020025	2020-04-18(六)	02 14 21 22 26 05 07 
2020024	2020-04-15(三)	03 05 06 24 30 03 07 
2020023	2020-04-13(一)	04 11 23 26 30 01 06 
2020022	2020-04-11(六)	04 14 20 28 35 02 03 
2020021	2020-04-08(三)	10 12 24 31 33 04 09 
2020020	2020-04-06(一)	08 10 12 26 32 05 09 
2020019	2020-04-04(六)	01 12 22 23 33 01 12 
2020018	2020-04-01(三)	09 14 16 24 26 04 12 
2020017	2020-03-30(一)	01 06 07 09 10 02 11 
2020016	2020-03-28(六)	04 08 19 31 35 01 02 
